epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,251.265,1.17027,1.69683,1.46194,0.76806,0.70243,0.7695,0.45926,1.47022,1.08973,1.59706,0.0700506,0.00332771,0.00332771
2,485.827,0.98088,1.04957,1.28529,0.7091,0.72088,0.76104,0.44817,1.45278,1.11837,1.58023,0.0399187,0.00652916,0.00652916
3,717.925,1.03002,1.06119,1.30808,0.69224,0.65129,0.71319,0.42079,1.51897,1.26152,1.66204,0.00965481,0.0095986,0.0095986
4,949.933,1.06115,1.09416,1.32464,0.66695,0.73206,0.77071,0.45538,1.44578,1.16212,1.59985,0.009406,0.009406,0.009406
5,1185.16,0.99789,0.99149,1.2816,0.82054,0.79636,0.87151,0.52935,1.37955,0.93906,1.50664,0.009208,0.009208,0.009208
6,1418.46,0.97068,0.93398,1.2612,0.72989,0.7394,0.77933,0.47016,1.4762,1.09376,1.60135,0.00901,0.00901,0.00901
7,1649.3,0.93305,0.88111,1.23834,0.82452,0.831,0.88346,0.54192,1.41001,0.85744,1.4677,0.008812,0.008812,0.008812
8,1882.02,0.9021,0.82685,1.21702,0.84943,0.83448,0.88114,0.56084,1.35109,0.84337,1.46245,0.008614,0.008614,0.008614
