epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1679.7,1.68617,2.04884,1.47,0.70272,0.19231,0.26544,0.1004,3.02187,3.28528,2.57047,0.000990365,0.000990365,0.000990365
43,1720.15,1.73799,2.57748,1.25565,0.37202,0.19231,0.17741,0.0786,2.97427,3.21738,2.75685,0.000973861,0.000973861,0.000973861
44,1759.43,1.62143,2.20965,1.32364,0.28035,0.19231,0.11163,0.04872,3.00398,3.14273,2.51951,0.000957358,0.000957358,0.000957358
45,1798.94,2.02627,4.72299,1.53205,0.28283,0.11538,0.08685,0.03546,3.11854,3.16125,2.50647,0.000940855,0.000940855,0.000940855
46,1838.77,2.06741,2.88261,1.57132,0.01848,0.34615,0.04631,0.02037,3.01347,3.3362,2.3536,0.000924352,0.000924352,0.000924352
47,1878.33,1.92717,3.45584,1.4764,0.01569,0.30769,0.03015,0.01402,2.7081,3.38397,2.06247,0.000907848,0.000907848,0.000907848
48,1918.39,1.55873,1.98839,1.4525,0.01389,0.26923,0.01555,0.00632,2.59816,3.45913,1.87075,0.000891345,0.000891345,0.000891345
49,1958.92,1.5272,2.4811,1.39809,0.04928,0.04201,0.02684,0.01013,2.46433,3.36681,1.74355,0.000874842,0.000874842,0.000874842
50,1998.68,1.59538,1.89145,1.37995,0.08626,0.03846,0.03561,0.01588,2.40722,3.31368,1.7255,0.000858338,0.000858338,0.000858338
51,2038.67,1.69954,2.24976,1.46702,0.3261,0.07484,0.06982,0.02768,2.36445,3.2531,1.76379,0.000841835,0.000841835,0.000841835
52,2078.74,1.60013,2.02781,1.56534,0.2063,0.03846,0.06633,0.02696,2.3692,3.33229,1.77931,0.000825332,0.000825332,0.000825332
53,2117.85,2.31781,5.51824,1.44839,0.01667,0.30769,0.03508,0.01625,2.33894,3.53084,1.73939,0.000808828,0.000808828,0.000808828
54,2157.69,1.55116,1.92424,1.46434,0.01392,0.23077,0.01058,0.00454,2.40525,3.72735,1.75982,0.000792325,0.000792325,0.000792325
55,2197.28,1.88279,2.47874,1.48114,0.01247,0.19231,0.00962,0.00453,2.4596,3.74039,1.83624,0.000775822,0.000775822,0.000775822
56,2236.47,1.6049,1.93679,1.38233,0.01681,0.23077,0.02306,0.0124,2.45786,3.62349,1.87563,0.000759318,0.000759318,0.000759318
57,2276.27,1.52088,1.67236,1.31433,0.34685,0.03846,0.08997,0.04571,2.344,3.35167,1.73635,0.000742815,0.000742815,0.000742815
58,2315.81,1.46657,1.66506,1.27234,0.34727,0.07692,0.14673,0.07323,2.33994,3.06293,1.75884,0.000726312,0.000726312,0.000726312
59,2355.02,1.61441,2.24212,1.4165,0.41253,0.15385,0.21839,0.09238,2.36335,2.8865,1.7335,0.000709809,0.000709809,0.000709809
60,2394.28,1.89909,2.37748,1.30823,0.48254,0.28755,0.22347,0.09034,2.49801,2.82718,1.85556,0.000693305,0.000693305,0.000693305
61,2434.13,1.95798,3.60917,1.48831,0.47811,0.30769,0.23802,0.09171,2.55104,2.87871,1.88985,0.000676802,0.000676802,0.000676802
62,2473.84,1.59232,1.83935,1.48434,0.58127,0.23077,0.23438,0.09562,2.5251,2.94421,1.85349,0.000660299,0.000660299,0.000660299
63,2513.52,1.96076,2.7666,1.22509,0.70447,0.23077,0.25871,0.10604,2.51667,2.9997,1.86033,0.000643795,0.000643795,0.000643795
64,2553.39,2.03119,2.50663,1.33674,0.71412,0.19217,0.25992,0.11269,2.45508,2.9911,1.78406,0.000627292,0.000627292,0.000627292
65,2592.41,1.73566,1.96406,1.20362,0.77976,0.27267,0.34402,0.13388,2.43019,2.89887,1.776,0.000610789,0.000610789,0.000610789
66,2632.25,2.07686,4.49336,1.37803,0.80052,0.34615,0.34587,0.13572,2.43604,2.7795,1.74324,0.000594286,0.000594286,0.000594286
67,2671.52,1.49958,2.00533,1.24289,0.76733,0.34615,0.36498,0.15493,2.46413,2.6638,1.74739,0.000577782,0.000577782,0.000577782
68,2710.19,1.40319,1.8004,1.35608,0.69455,0.35008,0.39882,0.15766,2.52503,2.55867,1.79709,0.000561279,0.000561279,0.000561279
69,2749.99,1.74351,2.15388,1.40165,0.70827,0.38462,0.37615,0.15545,2.62914,2.51669,1.89487,0.000544776,0.000544776,0.000544776
70,2790.02,1.37628,1.78512,1.19351,0.70889,0.37518,0.3681,0.1455,2.71039,2.50843,1.98496,0.000528272,0.000528272,0.000528272
71,2829.17,1.52904,2.18,1.46679,0.53289,0.34615,0.35998,0.12139,2.62809,2.60228,1.96457,0.000511769,0.000511769,0.000511769
72,2869.61,1.44429,1.62054,1.3772,0.49989,0.38462,0.35675,0.12849,2.57122,2.62135,1.97714,0.000495266,0.000495266,0.000495266
73,2909.1,1.59153,1.75851,1.38935,0.50388,0.38462,0.35413,0.13404,2.5558,2.65842,2.00513,0.000478762,0.000478762,0.000478762
74,2950.72,1.40144,1.53566,1.23654,0.45009,0.38462,0.35884,0.13365,2.59131,2.56944,2.11096,0.000462259,0.000462259,0.000462259
75,2990.85,1.65397,2.0261,1.32339,0.40554,0.36775,0.38435,0.15086,2.47894,2.48662,2.00599,0.000445756,0.000445756,0.000445756
76,3030.73,1.31437,1.42645,1.21978,0.39225,0.42308,0.33847,0.15504,2.4581,2.4895,1.95431,0.000429253,0.000429253,0.000429253
77,3070.35,1.64244,3.05156,1.29604,0.666,0.30684,0.364,0.16369,2.39042,2.51683,1.84671,0.000412749,0.000412749,0.000412749
78,3109.88,1.4949,1.92801,1.32683,0.65022,0.35805,0.43047,0.17287,2.39788,2.48856,1.81265,0.000396246,0.000396246,0.000396246
79,3149.68,1.38323,1.54044,1.29846,0.75397,0.34615,0.41375,0.17288,2.36082,2.53132,1.75921,0.000379743,0.000379743,0.000379743
80,3189.5,1.38643,1.67679,1.24001,0.59593,0.34615,0.33907,0.15564,2.38338,2.56513,1.79696,0.000363239,0.000363239,0.000363239
81,3229.07,1.70852,2.20825,1.21342,0.60874,0.34615,0.33186,0.15357,2.42475,2.59475,1.8453,0.000346736,0.000346736,0.000346736
82,3269.93,1.21415,1.47929,1.16699,0.62868,0.34615,0.34441,0.15662,2.47842,2.58271,1.88451,0.000330233,0.000330233,0.000330233
83,3309.73,1.33912,1.51632,1.21593,0.77705,0.38462,0.40172,0.16188,2.45262,2.57861,1.86964,0.000313729,0.000313729,0.000313729
84,3349.99,1.34722,1.46021,1.31441,0.6286,0.34615,0.33133,0.15018,2.47,2.5473,1.88579,0.000297226,0.000297226,0.000297226
85,3390.36,1.41939,1.86611,1.34628,0.61855,0.34615,0.34285,0.15454,2.43012,2.51474,1.8374,0.000280723,0.000280723,0.000280723
86,3431.11,1.36903,1.6128,1.41356,0.59576,0.34615,0.34577,0.14903,2.43082,2.51828,1.84371,0.00026422,0.00026422,0.00026422
87,3471.25,1.37799,1.56882,1.32054,0.59137,0.34615,0.35417,0.15208,2.46451,2.53881,1.88689,0.000247716,0.000247716,0.000247716
88,3512.04,1.17754,1.36285,1.13129,0.58092,0.34615,0.34369,0.1475,2.46056,2.51851,1.88995,0.000231213,0.000231213,0.000231213
89,3551.37,1.63813,2.02755,1.26679,0.57987,0.37212,0.34254,0.14605,2.47235,2.50955,1.88769,0.00021471,0.00021471,0.00021471
90,3590.52,1.29751,1.39588,1.17088,0.58807,0.38462,0.34508,0.14195,2.50295,2.51792,1.91637,0.000198206,0.000198206,0.000198206
91,3629.94,1.43548,2.01455,1.20483,0.57153,0.38462,0.34665,0.14452,2.47487,2.49767,1.86503,0.000181703,0.000181703,0.000181703
92,3668.92,1.3204,1.59245,1.20661,0.5727,0.38462,0.34831,0.14352,2.46599,2.49308,1.8654,0.0001652,0.0001652,0.0001652
93,3707.46,1.30703,1.54921,1.28455,0.73154,0.41945,0.42169,0.15419,2.46296,2.46386,1.8473,0.000148696,0.000148696,0.000148696
94,3746.52,1.29388,1.40475,1.26328,0.7251,0.42308,0.4214,0.15869,2.47144,2.45259,1.85274,0.000132193,0.000132193,0.000132193
95,3785.72,1.37839,1.66832,1.16377,0.68966,0.42308,0.42421,0.15912,2.47248,2.43769,1.84088,0.00011569,0.00011569,0.00011569
96,3825.39,1.36683,1.5265,1.22367,0.682,0.42308,0.42404,0.15752,2.48106,2.42885,1.82309,9.91865e-05,9.91865e-05,9.91865e-05
97,3864.47,1.02708,4.91891,0.90536,0.6765,0.42308,0.41985,0.15639,2.47222,2.4318,1.81712,8.26832e-05,8.26832e-05,8.26832e-05
98,3903.68,1.6769,4.13315,1.24137,0.67661,0.42308,0.41403,0.15356,2.47993,2.44272,1.82078,6.61799e-05,6.61799e-05,6.61799e-05
99,3943.04,1.3525,1.70797,1.07253,0.67506,0.42308,0.41338,0.15334,2.48141,2.43889,1.8145,4.96766e-05,4.96766e-05,4.96766e-05
100,3982.41,1.87284,3.1912,1.2145,0.67325,0.42308,0.41832,0.15594,2.4796,2.43449,1.81857,3.31733e-05,3.31733e-05,3.31733e-05
